Positions Details,
OpenDate,Serial_No,Exchange,Product Code,L-Lots,BidPrice,S-Lots,AskPrice,Previous_SP,SP,Float_P/L,MTM_P/L,H/S,Margin,Contract Size,Account Code,Expiry Year,Expiry Month,
26/5/2017,10112902,DCE,m1709,0,0.000,15,2703.000,2635.000,2623.00,12000.00,1800.00,Spec,27541.50,10,99918803,2017,09,
26/5/2017,10112903,DCE,m1709,0,0.000,29,2703.000,2635.000,2623.00,23200.00,3480.00,Spec,53246.90,10,99918803,2017,09,
26/5/2017,10139721,DCE,m1709,0,0.000,1,2702.000,2635.000,2623.00,790.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139722,DCE,m1709,0,0.000,1,2702.000,2635.000,2623.00,790.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139723,DCE,m1709,0,0.000,5,2702.000,2635.000,2623.00,3950.00,600.00,Spec,9180.50,10,99918803,2017,09,
26/5/2017,10139724,DCE,m1709,0,0.000,1,2702.000,2635.000,2623.00,790.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139725,DCE,m1709,0,0.000,1,2702.000,2635.000,2623.00,790.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139726,DCE,m1709,0,0.000,5,2702.000,2635.000,2623.00,3950.00,600.00,Spec,9180.50,10,99918803,2017,09,
26/5/2017,10139727,DCE,m1709,0,0.000,40,2702.000,2635.000,2623.00,31600.00,4800.00,Spec,73444.00,10,99918803,2017,09,
26/5/2017,10139728,DCE,m1709,0,0.000,10,2702.000,2635.000,2623.00,7900.00,1200.00,Spec,18361.00,10,99918803,2017,09,
26/5/2017,10139729,DCE,m1709,0,0.000,17,2702.000,2635.000,2623.00,13430.00,2040.00,Spec,31213.70,10,99918803,2017,09,
26/5/2017,10139730,DCE,m1709,0,0.000,1,2702.000,2635.000,2623.00,790.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139731,DCE,m1709,0,0.000,9,2701.000,2635.000,2623.00,7020.00,1080.00,Spec,16524.90,10,99918803,2017,09,
26/5/2017,10139732,DCE,m1709,0,0.000,24,2701.000,2635.000,2623.00,18720.00,2880.00,Spec,44066.40,10,99918803,2017,09,
26/5/2017,10139733,DCE,m1709,0,0.000,12,2701.000,2635.000,2623.00,9360.00,1440.00,Spec,22033.20,10,99918803,2017,09,
26/5/2017,10139734,DCE,m1709,0,0.000,10,2701.000,2635.000,2623.00,7800.00,1200.00,Spec,18361.00,10,99918803,2017,09,
26/5/2017,10139735,DCE,m1709,0,0.000,1,2701.000,2635.000,2623.00,780.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139736,DCE,m1709,0,0.000,1,2701.000,2635.000,2623.00,780.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139737,DCE,m1709,0,0.000,1,2701.000,2635.000,2623.00,780.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139738,DCE,m1709,0,0.000,20,2701.000,2635.000,2623.00,15600.00,2400.00,Spec,36722.00,10,99918803,2017,09,
26/5/2017,10139739,DCE,m1709,0,0.000,20,2701.000,2635.000,2623.00,15600.00,2400.00,Spec,36722.00,10,99918803,2017,09,
26/5/2017,10139740,DCE,m1709,0,0.000,1,2701.000,2635.000,2623.00,780.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139741,DCE,m1709,0,0.000,1,2701.000,2635.000,2623.00,780.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139742,DCE,m1709,0,0.000,15,2701.000,2635.000,2623.00,11700.00,1800.00,Spec,27541.50,10,99918803,2017,09,
26/5/2017,10139743,DCE,m1709,0,0.000,3,2701.000,2635.000,2623.00,2340.00,360.00,Spec,5508.30,10,99918803,2017,09,
26/5/2017,10139744,DCE,m1709,0,0.000,3,2701.000,2635.000,2623.00,2340.00,360.00,Spec,5508.30,10,99918803,2017,09,
26/5/2017,10139745,DCE,m1709,0,0.000,1,2701.000,2635.000,2623.00,780.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139746,DCE,m1709,0,0.000,1,2701.000,2635.000,2623.00,780.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139747,DCE,m1709,0,0.000,1,2701.000,2635.000,2623.00,780.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139748,DCE,m1709,0,0.000,2,2701.000,2635.000,2623.00,1560.00,240.00,Spec,3672.20,10,99918803,2017,09,
26/5/2017,10139749,DCE,m1709,0,0.000,2,2701.000,2635.000,2623.00,1560.00,240.00,Spec,3672.20,10,99918803,2017,09,
26/5/2017,10139750,DCE,m1709,0,0.000,1,2701.000,2635.000,2623.00,780.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139751,DCE,m1709,0,0.000,1,2701.000,2635.000,2623.00,780.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139752,DCE,m1709,0,0.000,1,2701.000,2635.000,2623.00,780.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139753,DCE,m1709,0,0.000,2,2701.000,2635.000,2623.00,1560.00,240.00,Spec,3672.20,10,99918803,2017,09,
26/5/2017,10139754,DCE,m1709,0,0.000,2,2701.000,2635.000,2623.00,1560.00,240.00,Spec,3672.20,10,99918803,2017,09,
26/5/2017,10139755,DCE,m1709,0,0.000,10,2701.000,2635.000,2623.00,7800.00,1200.00,Spec,18361.00,10,99918803,2017,09,
26/5/2017,10139756,DCE,m1709,0,0.000,1,2701.000,2635.000,2623.00,780.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139757,DCE,m1709,0,0.000,1,2701.000,2635.000,2623.00,780.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139758,DCE,m1709,0,0.000,20,2701.000,2635.000,2623.00,15600.00,2400.00,Spec,36722.00,10,99918803,2017,09,
26/5/2017,10139759,DCE,m1709,0,0.000,7,2701.000,2635.000,2623.00,5460.00,840.00,Spec,12852.70,10,99918803,2017,09,
26/5/2017,10139760,DCE,m1709,0,0.000,3,2701.000,2635.000,2623.00,2340.00,360.00,Spec,5508.30,10,99918803,2017,09,
26/5/2017,10139761,DCE,m1709,0,0.000,1,2701.000,2635.000,2623.00,780.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139762,DCE,m1709,0,0.000,2,2701.000,2635.000,2623.00,1560.00,240.00,Spec,3672.20,10,99918803,2017,09,
26/5/2017,10139763,DCE,m1709,0,0.000,1,2701.000,2635.000,2623.00,780.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139764,DCE,m1709,0,0.000,1,2701.000,2635.000,2623.00,780.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139765,DCE,m1709,0,0.000,3,2701.000,2635.000,2623.00,2340.00,360.00,Spec,5508.30,10,99918803,2017,09,
26/5/2017,10139766,DCE,m1709,0,0.000,10,2701.000,2635.000,2623.00,7800.00,1200.00,Spec,18361.00,10,99918803,2017,09,
26/5/2017,10139767,DCE,m1709,0,0.000,1,2701.000,2635.000,2623.00,780.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139768,DCE,m1709,0,0.000,1,2701.000,2635.000,2623.00,780.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139769,DCE,m1709,0,0.000,1,2701.000,2635.000,2623.00,780.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139770,DCE,m1709,0,0.000,50,2701.000,2635.000,2623.00,39000.00,6000.00,Spec,91805.00,10,99918803,2017,09,
26/5/2017,10139771,DCE,m1709,0,0.000,4,2701.000,2635.000,2623.00,3120.00,480.00,Spec,7344.40,10,99918803,2017,09,
26/5/2017,10139772,DCE,m1709,0,0.000,1,2701.000,2635.000,2623.00,780.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139773,DCE,m1709,0,0.000,1,2701.000,2635.000,2623.00,780.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139774,DCE,m1709,0,0.000,1,2701.000,2635.000,2623.00,780.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139775,DCE,m1709,0,0.000,2,2701.000,2635.000,2623.00,1560.00,240.00,Spec,3672.20,10,99918803,2017,09,
26/5/2017,10139776,DCE,m1709,0,0.000,1,2701.000,2635.000,2623.00,780.00,120.00,Spec,1836.10,10,99918803,2017,09,
26/5/2017,10139777,DCE,m1709,0,0.000,6,2701.000,2635.000,2623.00,4680.00,720.00,Spec,11016.60,10,99918803,2017,09,
